Name,Address,Type,Description,Image_URL
Percy Warner Park,"1000 Percy Warner Blvd, Nashville, TN 37205",Park,"Percy Warner Park is one of my favorite places to go on long walks with friends, my family, and my dog. The trails are beautiful and peaceful, and it's the perfect place to get outside and reset.",https://warnerparks.org/wp-content/uploads/2022/03/allee-rainbow-trent-rosenbloom-1024x576.jpg
Neighbors Bar Sylvan Park,"4425 Murphy Rd, Nashville, TN 37209",Restaurant/Bar,"Neighbors in Sylvan Park is my friend group's go-to spot whenever we are all home in Nashville. It's super casual, always lively, and the kind of place where we can sit for hours catching up.",https://nashvillego.s3.us-east-2.amazonaws.com/images/tours/neighbors-sylvan-park/neighbors-patio-tables.webp
Nissan Stadium,"1 Titans Way, Nashville, TN 37213",Sports Venue,"Nissan Stadium is where I go to watch Tennessee Titans games, which is always such a fun experience. The energy of the crowd and being downtown with thousands of fans makes game days really special.",https://media-cdn.tripadvisor.com/media/attractions-splice-spp-674x446/14/2e/3d/7a.jpgg
Ryman Auditorium,"116 5th Ave N, Nashville, TN 37219",Music Venue,"The Ryman Auditorium is my favorite concert venue in Nashville. The history and acoustics make every show feel intimate and special, and it really represents the heart of Nashville's music scene.",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepscaW-Lpg398qTe8uRDYv4FYFsmO0bAXACLe6ypGhJowio2cYNgDrYQb2iFd51yDmWWZbr1ZIM1H91LQdKKYXW-JKp8oPC3s9c5BW6MAc9lDZx8h7IbdhvnslVn5uexVDixHtFiA=s1360-w1360-h1020
Bluebird Cafe,"4104 Hillsboro Pike, Nashville, TN 37215",Music Venue,"The Bluebird Cafe is such a special place for authentic Nashville songwriting and live music. The shows are small and intimate, which makes hearing artists perform their songs up close an unforgettable experience.",https://blog.taylorguitars.com/wp-content/uploads/2024/09/taylor-ws-bluebird-lead-2023.jpg
Little Rad Market,"6045 TN-100, Nashville, TN 37205",Cafe,Little Rad is one of my favorite spots to walk to for matcha or lunch with friends. It's cozy and cute and always a good place to sit and catch up during the day.,https://s3-media0.fl.yelpcdn.com/bphoto/Y_wDIxJbrj9OuBvxGFsOIQ/348s.jpg
Old Natchez Trace Road,"Old Natchez Trace Rd, Nashville, TN 37221",Recreation,"Old Natchez Trace Road along the river is a spot we love to visit in the summer. There's a tire swing by the water that everyone jumps from, and it's one of those classic Nashville summer memories.",https://www.tennessean.com/gcdn/-mm-/4f0bd01569e876a5289578410f29e45de1c922ee/c=0-22-1797-1037/local/-/media/2017/06/27/TennGroup/Nashville/636341715319950355-riverswing3.jpg?width=700&height=396&fit=crop&format=pjpg&auto=webp
Iroquois Steeplechase,"50 Vaughn Rd, Nashville, TN 37221",Event/Recreation,The Iroquois Steeplechase at Percy Warner Park is one of the biggest traditions in Nashville every spring. I love going with friends to watch the horse races and spend the day outside enjoying the event.,https://images.squarespace-cdn.com/content/v1/5d9cf736ef395d2afbb523b6/1617808810304-JDIEYIXTYHS6MFOYUN82/SteepleChase
Solidcore Green Hills,"4017 Hillsboro Pike Suite 104, Nashville, TN 37215",Fitness,"Solidcore in Green Hills is my favorite workout spot in Nashville. The classes are challenging but fun, and it's a place that always makes me feel energized after a good workout.",https://cdn.corner.inc/place-photo/ATCDNfXs8cEWGzOxNjHp3JAZ4-hmtKTyANp7pDOhUeDTVY_cnJBi6ncmX5XQhMermS2GSNsyrmzfibhn4AVbp4XQAKL3Hl7QMaL2bYqK6sZIfrT3BW10MYSGjhS5lRsh53bAsr2NH0R7nrnRxyeGokrGAvZ5-MoE2d7bjj_rn2xb3h_n_TBZI50I37WTlSnVjfB5394gYi3rvH5JPuAyfN6dJ-yDXR21dGzX75XjppwdVqRQgA6FvRGoACo-QTQF1t6g6dYt_S1QrYVmEQiWgAp3y_GDnpi1EzzVv-_4p-nd1IyARQ.jpeg
The Food Company,"2212 Crestmoor Rd, Nashville, TN 37215",Restaurant,"The Food Company is one of my favorite restaurants during the day and turns into a fun bar scene at night. The space feels like a treehouse with tons of plants, which makes it a really unique and cool place to hang out.",https://s3-media0.fl.yelpcdn.com/bphoto/QNotlEhbyUnZb-OlOp5pSQ/348s.jpg
